"LOCATION","Country","INDICATOR","Indicator","SEX","Sex","AGE","Age","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"JPN","Japan","GAL_TRAINING","Access to training on how to start a business","WOMEN","Women","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,17.12153244,,
"IND","India","GAL_MONEY","Access to money to start a business","WOMEN","Women","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,9.656477217,,
"ITA","Italy","GAL_TRAINING","Access to training on how to start a business","MEN","Men","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,19.08958056,,
"HUN","Hungary","GAL_MONEY","Access to money to start a business","MEN","Men","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,15.96716311,,
"TUR","Turkey","GAL_MONEY","Access to money to start a business","MEN","Men","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,21.15651043,,
"DEU","Germany","GAL_MONEY","Access to money to start a business","MEN","Men","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,48.5629344,,
"CHL","Chile","GAL_MONEY","Access to money to start a business","MEN","Men","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,26.69884718,,
"BRA","Brazil","GAL_TRAINING","Access to training on how to start a business","WOMEN","Women","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,20.99510764,,
"NLD","Netherlands","GAL_MONEY","Access to money to start a business","WOMEN","Women","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,31.25749842,,
"POL","Poland","GAL_TRAINING","Access to training on how to start a business","WOMEN","Women","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,30.08930381,,
"ISL","Iceland","GAL_TRAINING","Access to training on how to start a business","MEN","Men","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,71.74384077,,
"GRC","Greece","GAL_TRAINING","Access to training on how to start a business","WOMEN","Women","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,24.10984903,,
"RUS","Russia","GAL_TRAINING","Access to training on how to start a business","WOMEN","Women","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,34.49426644,,
"SVN","Slovenia","GAL_TRAINING","Access to training on how to start a business","MEN","Men","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,68.03325977,,
"CHN","China (People's Republic of)","GAL_TRAINING","Access to training on how to start a business","WOMEN","Women","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,18.5904003,,
"SWE","Sweden","GAL_TRAINING","Access to training on how to start a business","MEN","Men","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,61.57336095,,
"PRT","Portugal","GAL_MONEY","Access to money to start a business","MEN","Men","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,24.97527762,,
